mode,total,success,fail,skipped,sat_found,unsat_proved,timeout,failed_to_find,success_rate,avg_steps_success_only,avg_steps_all,avg_steps_non_skipped,avg_decision_steps,avg_forced_steps,avg_score_calls,min_steps_success,max_steps_success
dpll_control,5,2,3,0,2,3,0,0,0.4,8.0,15.0,15.0,15.0,0.0,0.0,7,9
greedy_L,5,1,4,0,1,0,0,4,0.2,19.0,21.4,21.4,21.4,0.0,503.4,19,19
greedy_LG,5,1,4,0,1,0,0,4,0.2,3.0,15.0,15.0,9.4,9.4,231.2,3,3
lookahead_LG_1,5,1,4,0,1,0,0,4,0.2,3.0,15.0,15.0,9.4,9.4,231.2,3,3
lookahead_LG_2,5,2,3,0,2,0,0,3,0.4,5.0,12.6,12.6,8.8,10.6,6782.8,5,5
lookahead_LG_3,5,2,3,0,2,0,0,3,0.4,5.0,12.8,12.8,10.6,9.0,29917.2,5,5
lookahead_L_1,5,1,4,0,1,0,0,4,0.2,19.0,21.4,21.4,21.4,0.0,503.4,19,19
lookahead_L_2,5,2,3,0,2,0,0,3,0.4,21.5,21.2,21.2,21.2,0.0,16156.0,21,22
lookahead_L_3,5,2,3,0,2,0,0,3,0.4,21.5,20.6,20.6,20.6,0.0,60004.6,21,22
random,5,0,5,0,0,0,0,5,0.0,,22.0,22.0,22.0,0.0,0.0,,
