formula_seed,mode,status,success,steps,assigned_count,decision_steps,forced_steps,score_calls,dpll_nodes
42,dpll_control,SAT_FOUND,True,9,22,9,0,0,9
42,greedy_L,FAILED_TO_FIND,False,22,22,22,0,506,
42,greedy_LG,FAILED_TO_FIND,False,17,22,10,7,258,
42,lookahead_LG_1,FAILED_TO_FIND,False,17,22,10,7,258,
42,lookahead_LG_2,SAT_FOUND,True,5,22,5,17,7186,
42,lookahead_LG_3,SAT_FOUND,True,5,22,5,17,23896,
42,lookahead_L_1,FAILED_TO_FIND,False,22,22,22,0,506,
42,lookahead_L_2,SAT_FOUND,True,21,22,21,0,16092,
42,lookahead_L_3,SAT_FOUND,True,21,22,21,0,59937,
42,random,FAILED_TO_FIND,False,22,22,22,0,0,
43,dpll_control,UNSAT_PROVED,False,21,0,21,0,0,21
43,greedy_L,FAILED_TO_FIND,False,22,22,22,0,506,
43,greedy_LG,FAILED_TO_FIND,False,18,22,11,7,258,
43,lookahead_LG_1,FAILED_TO_FIND,False,18,22,11,7,258,
43,lookahead_LG_2,FAILED_TO_FIND,False,19,22,14,5,9050,
43,lookahead_LG_3,FAILED_TO_FIND,False,17,22,13,4,31495,
43,lookahead_L_1,FAILED_TO_FIND,False,22,22,22,0,506,
43,lookahead_L_2,FAILED_TO_FIND,False,21,22,21,0,16180,
43,lookahead_L_3,FAILED_TO_FIND,False,20,22,20,0,60122,
43,random,FAILED_TO_FIND,False,22,22,22,0,0,
44,dpll_control,SAT_FOUND,True,7,22,7,0,0,7
44,greedy_L,SAT_FOUND,True,19,22,19,0,493,
44,greedy_LG,SAT_FOUND,True,3,22,3,19,114,
44,lookahead_LG_1,SAT_FOUND,True,3,22,3,19,114,
44,lookahead_LG_2,SAT_FOUND,True,5,22,5,17,6112,
44,lookahead_LG_3,SAT_FOUND,True,5,22,5,17,23002,
44,lookahead_L_1,SAT_FOUND,True,19,22,19,0,493,
44,lookahead_L_2,SAT_FOUND,True,22,22,22,0,16148,
44,lookahead_L_3,SAT_FOUND,True,22,22,22,0,59720,
44,random,FAILED_TO_FIND,False,22,22,22,0,0,
45,dpll_control,UNSAT_PROVED,False,29,0,29,0,0,29
45,greedy_L,FAILED_TO_FIND,False,22,22,22,0,506,
45,greedy_LG,FAILED_TO_FIND,False,17,22,9,8,222,
45,lookahead_LG_1,FAILED_TO_FIND,False,17,22,9,8,222,
45,lookahead_LG_2,FAILED_TO_FIND,False,18,22,9,9,3921,
45,lookahead_LG_3,FAILED_TO_FIND,False,19,22,15,4,35364,
45,lookahead_L_1,FAILED_TO_FIND,False,22,22,22,0,506,
45,lookahead_L_2,FAILED_TO_FIND,False,21,22,21,0,16180,
45,lookahead_L_3,FAILED_TO_FIND,False,20,22,20,0,60122,
45,random,FAILED_TO_FIND,False,22,22,22,0,0,
46,dpll_control,UNSAT_PROVED,False,9,0,9,0,0,9
46,greedy_L,FAILED_TO_FIND,False,22,22,22,0,506,
46,greedy_LG,FAILED_TO_FIND,False,20,22,14,6,304,
46,lookahead_LG_1,FAILED_TO_FIND,False,20,22,14,6,304,
46,lookahead_LG_2,FAILED_TO_FIND,False,16,22,11,5,7645,
46,lookahead_LG_3,FAILED_TO_FIND,False,18,22,15,3,35829,
46,lookahead_L_1,FAILED_TO_FIND,False,22,22,22,0,506,
46,lookahead_L_2,FAILED_TO_FIND,False,21,22,21,0,16180,
46,lookahead_L_3,FAILED_TO_FIND,False,20,22,20,0,60122,
46,random,FAILED_TO_FIND,False,22,22,22,0,0,
