formula_seed,mode,status,success,steps,assigned_count,decision_steps,forced_steps,score_calls,dpll_nodes
42,dpll_control,UNSAT_PROVED,False,31,0,31,0,0,31
42,greedy_L,FAILED_TO_FIND,False,17,18,17,0,340,
42,greedy_LG,FAILED_TO_FIND,False,11,18,6,5,146,
42,lookahead_LG_1,FAILED_TO_FIND,False,11,18,6,5,146,
42,lookahead_LG_2,FAILED_TO_FIND,False,16,18,9,7,2661,
42,lookahead_LG_3,FAILED_TO_FIND,False,12,18,9,3,15855,
42,lookahead_L_1,FAILED_TO_FIND,False,17,18,17,0,340,
42,lookahead_L_2,FAILED_TO_FIND,False,16,18,16,0,9088,
42,lookahead_L_3,FAILED_TO_FIND,False,15,18,15,0,33190,
42,random,FAILED_TO_FIND,False,18,18,18,0,0,
43,dpll_control,SAT_FOUND,True,9,18,9,2,0,9
43,greedy_L,FAILED_TO_FIND,False,18,18,18,0,342,
43,greedy_LG,SAT_FOUND,True,3,18,3,15,96,
43,lookahead_LG_1,SAT_FOUND,True,3,18,3,15,96,
43,lookahead_LG_2,SAT_FOUND,True,7,18,7,6,4816,
43,lookahead_LG_3,SAT_FOUND,True,7,18,7,6,16976,
43,lookahead_L_1,FAILED_TO_FIND,False,18,18,18,0,342,
43,lookahead_L_2,FAILED_TO_FIND,False,17,18,17,0,9108,
43,lookahead_L_3,FAILED_TO_FIND,False,16,18,16,0,33310,
43,random,FAILED_TO_FIND,False,18,18,18,0,0,
44,dpll_control,SAT_FOUND,True,11,18,11,0,0,11
44,greedy_L,FAILED_TO_FIND,False,18,18,18,0,342,
44,greedy_LG,FAILED_TO_FIND,False,14,18,8,6,162,
44,lookahead_LG_1,FAILED_TO_FIND,False,14,18,8,6,162,
44,lookahead_LG_2,SAT_FOUND,True,5,18,5,13,4079,
44,lookahead_LG_3,SAT_FOUND,True,5,18,5,13,15123,
44,lookahead_L_1,FAILED_TO_FIND,False,18,18,18,0,342,
44,lookahead_L_2,FAILED_TO_FIND,False,17,18,17,0,9108,
44,lookahead_L_3,FAILED_TO_FIND,False,16,18,16,0,33310,
44,random,FAILED_TO_FIND,False,18,18,18,0,0,
45,dpll_control,UNSAT_PROVED,False,15,0,15,0,0,15
45,greedy_L,FAILED_TO_FIND,False,17,18,17,0,340,
45,greedy_LG,FAILED_TO_FIND,False,17,18,6,11,104,
45,lookahead_LG_1,FAILED_TO_FIND,False,17,18,6,11,104,
45,lookahead_LG_2,FAILED_TO_FIND,False,17,18,8,9,3388,
45,lookahead_LG_3,FAILED_TO_FIND,False,17,18,8,9,15766,
45,lookahead_L_1,FAILED_TO_FIND,False,17,18,17,0,340,
45,lookahead_L_2,FAILED_TO_FIND,False,17,18,17,0,9108,
45,lookahead_L_3,FAILED_TO_FIND,False,17,18,17,0,33330,
45,random,FAILED_TO_FIND,False,18,18,18,0,0,
46,dpll_control,SAT_FOUND,True,17,18,17,1,0,17
46,greedy_L,FAILED_TO_FIND,False,16,18,16,0,336,
46,greedy_LG,SAT_FOUND,True,3,18,3,14,92,
46,lookahead_LG_1,SAT_FOUND,True,3,18,3,14,92,
46,lookahead_LG_2,SAT_FOUND,True,3,18,3,11,3141,
46,lookahead_LG_3,SAT_FOUND,True,3,18,3,11,12904,
46,lookahead_L_1,FAILED_TO_FIND,False,16,18,16,0,336,
46,lookahead_L_2,FAILED_TO_FIND,False,15,18,15,0,9040,
46,lookahead_L_3,FAILED_TO_FIND,False,17,18,17,0,33330,
46,random,FAILED_TO_FIND,False,18,18,18,0,0,
