mode,total,success,fail,skipped,sat_found,unsat_proved,timeout,failed_to_find,success_rate,avg_steps_success_only,avg_steps_all,avg_steps_non_skipped,avg_decision_steps,avg_forced_steps,avg_score_calls,min_steps_success,max_steps_success
dpll_control,5,3,2,0,3,2,0,0,0.6,12.333333333333334,16.6,16.6,16.6,0.6,0.0,9,17
greedy_L,5,0,5,0,0,0,0,5,0.0,,17.2,17.2,17.2,0.0,340.0,,
greedy_LG,5,2,3,0,2,0,0,3,0.4,3.0,9.6,9.6,5.2,10.2,120.0,3,3
lookahead_LG_1,5,2,3,0,2,0,0,3,0.4,3.0,9.6,9.6,5.2,10.2,120.0,3,3
lookahead_LG_2,5,3,2,0,3,0,0,2,0.6,5.0,9.6,9.6,6.4,9.2,3617.0,3,7
lookahead_LG_3,5,3,2,0,3,0,0,2,0.6,5.0,8.8,8.8,6.4,8.4,15324.8,3,7
lookahead_L_1,5,0,5,0,0,0,0,5,0.0,,17.2,17.2,17.2,0.0,340.0,,
lookahead_L_2,5,0,5,0,0,0,0,5,0.0,,16.4,16.4,16.4,0.0,9090.4,,
lookahead_L_3,5,0,5,0,0,0,0,5,0.0,,16.2,16.2,16.2,0.0,33294.0,,
random,5,0,5,0,0,0,0,5,0.0,,18.0,18.0,18.0,0.0,0.0,,
