mode,total,success,fail,success_rate,avg_steps_all,avg_steps_success_only,avg_decision_steps,avg_forced_steps,avg_score_calls
guided_1,3,3,0,1.0,11.333333333333334,11.333333333333334,0.0,0.0,0.0
random,3,1,2,0.3333333333333333,15.0,16.0,0.0,0.0,0.0
