mode,total,success,fail,success_rate,avg_steps_all,avg_steps_success_only,avg_decision_steps,avg_forced_steps,avg_score_calls
guided_1,8,0,8,0.0,19.5,,0.0,0.0,0.0
guided_2,8,0,8,0.0,199.75,,0.0,0.0,0.0
guided_3,8,4,4,0.5,150.75,41.5,0.0,0.0,0.0
guided_4,8,6,2,0.75,104.25,52.333333333333336,0.0,0.0,0.0
guided_5,8,6,2,0.75,100.0,46.666666666666664,0.0,0.0,0.0
guided_6,8,6,2,0.75,98.25,44.333333333333336,0.0,0.0,0.0
guided_7,8,6,2,0.75,94.75,39.666666666666664,0.0,0.0,0.0
guided_8,8,5,3,0.625,114.75,27.6,0.0,0.0,0.0
random,16,5,11,0.3125,55.125,82.0,0.0,0.0,0.0
