from_depth,to_depth,total,fixed_by_next,broken_by_next,stayed_success,stayed_fail,net_gain
1,2,8,0,0,0,8,0
2,3,8,4,0,0,4,4
3,4,8,2,0,4,2,2
4,5,8,1,1,5,1,0
5,6,8,0,0,6,2,0
6,7,8,0,0,6,2,0
7,8,8,0,1,5,2,-1
