size,sets,solution_size,depth,success,total,success_rate,false_success,avg_decision_steps,avg_forced_steps,avg_score_calls
32,56,8,1,5,5,1.0,0,1.0,7.0,56.0
32,56,8,2,5,5,1.0,0,1.8,6.2,840.6
36,63,9,1,5,5,1.0,0,1.0,8.0,63.0
36,63,9,2,5,5,1.0,0,1.6,7.4,927.0
40,70,10,1,5,5,1.0,0,1.0,9.0,70.0
40,70,10,2,5,5,1.0,0,1.6,8.4,1091.4
